doc_table_contents,question,answer
"설명서 대제목:전기차 시작하기
설명서 중제목:전기 자동차 개요
설명서 소제목:
전기 자동차 개요
전기 자동차는 배터리와 전기 모터로 구동되는자동차입니다. 일반 자동차는 내연기관을 이용하여 가솔린 등의 연료를 사용하는데 비해, 전기 자동차는 구동용(고전압) 배터리에 충전된전기를 사용하여 모터로 구동되기 때문에 연료의 보급이 필요 없고, 배기가스를 배출하지 않는 친환경 자동차입니다.",전기 자동차는 어떤 연료를 사용하나요?,전기 자동차는 구동용 배터리에 충전된 전기를 사용하여 모터로 구동됩니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:전기 자동차 개요
설명서 소제목:전기 자동차 특징
전기 자동차 특징
1. 구동용(고전압) 배터리에 충전된 전기를 이용하여 주행하기 때문에 가솔린 등의 연료보급이 필요 없으며, 배기가스를 배출하지않아 친환경적입니다.2. 고성능 모터가 적용되어 엔진 장착 차량에비해 주행 중 소음 및 진동 발생이 매우 적습니다.3. 감속 또는 내리막길 주행 시 회생 제동 브레이크가 작동되어 구동용(고전압) 배터리를충전하며, 이 과정에서 에너지 손실을 최소화하여 주행 가능 거리가 늘어납니다.4. 배터리 잔량이 부족한 경우 완속 충전, 급속충전 및 휴대용 충전이 가능합니다. 자세한내용은 ‘전기 자동차 충전 종류’를 참고하십시오.
 회생 제동 기능이란?차량 감속 및 제동 시 전기 모터를 사용, 운동 에너지를 전기 에너지로 변환시켜 구동용 배터리를 충전하는 기능입니다.",전기 자동차의 특징은 무엇인가요?,"전기 자동차의 특징은 가솔린 등의 연료보급이 필요 없으며, 배기가스를 배출하지 않아 친환경적이며, 주행 중 소음 및 진동이 적습니다. 또한 감속이나 내리막길 주행 시 회생 제동 브레이크가 작동되어 배터리를 충전하고 주행 가능 거리를 늘릴 수 있습니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:전기 자동차 개요
설명서 소제목:배터리에 대한 정보
배터리에 대한 정보
 본 차량의 배터리는 모터 및 에어컨을 작동시키는 구동용(고전압) 배터리와 조명, 와이퍼, 오디오 등을 작동시키는 보조 배터리(12V)로 구성되어 있습니다. 보조 배터리는 주행 가능 표시등()이켜진 상태 또는 구동용(고전압) 배터리가 충전되는 경우에 자동으로 충전됩니다.",전기차의 배터리는 어떤 구성으로 되어 있나요?,전기차의 배터리는 구동용(고전압) 배터리와 보조 배터리(12V)로 구성되어 있습니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:전기 자동차 개요
설명서 소제목:전기 자동차의 주요 장치
전기 자동차의 주요 장치
 구동용(고전압) 배터리 충전장치(OBC): 전력망의 AC 전원을 DC 전원으로 변환하여 구동용(고전압) 배터리를 충전하는 장치 인버터: 직류 > 교류 변환하여 모터에 전원공급, 교류 > 직류 변환하여 구동용(고전압)배터리 충전(회생제동)  LDC: 고전압 배터리의 전원을 저전압(12 V)으로 변환하여 차량 전원을 공급(DC-DC) VCU: 전기 자동차의 다양한 제어기를 총괄제어 모터: 배터리에 저장된 전기를 이용하여 차량을 구동시키며 일반 자동차의 엔진과 같은역할 감속기: 모터의 회전력을 적절한 속도와 토크로 타이어에 전달 구동용(고전압) 배터리(리튬 이온 배터리):전기 자동차에 필요한 전력을 저장하거나 공급(조명, 와이퍼 등을 작동시키는 보조 배터리(12 V) 별도 장착)
 OBC: On Board ChargerLDC: Low Voltage DC-DC converterVCU: Vehicle Control Unit
 고전압 부품 및 구동용(고전압) 배터리의 배선, 커넥터를 임의로 분리, 분해하지 마십시오. 또한, 고전압 부품 및 구동용(고전압) 배터리를 손상시키지 마십시오. 감전 등의 사고가 발생해 심각한 부상을 입을 수 있으며차량의 성능 및 내구에 영향을 줄 수 있습니다. 고전압 부품 및 구동용(고전압) 배터리의 점검 및 정비가 필요할 경우 반드시 당사 직영하이테크센터나 블루핸즈에서 점검을 받으십시오.",전기 자동차의 주요 장치 중 하나는 무엇인가요?,전기 자동차의 주요 장치 중 하나는 구동용(고전압) 배터리 충전장치(OBC)입니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:구동용(고전압) 배터리
설명서 소제목:구동용(고전압) 배터리 (리튬 이온 배터리)
구동용(고전압) 배터리 (리튬 이온 배터리)
 차량을 주행하지 않아도 구동용(고전압) 배터리 잔량이 서서히 감소될 수 있습니다.  최고/최저 온도에서 차량을 보관할 경우 구동용(고전압) 배터리 용량이 저하될 수 있습니다. 충전량이 동일하여도 주행 조건(외기 온도등)에 따라 주행 가능 거리 또는 출력이 변합니다. 고속 주행이나 오르막길 주행은 평상시보다 구동용(고전압) 배터리의 소비가 증가하여 주행 가능 거리가 짧아질 수 있습니다. 냉난방 기능 사용 시 구동용(고전압) 배터리전력을 사용하기 때문에 주행 가능 거리가짧아집니다. 냉난방 기능 사용 시 적정 온도를 유지하십시오. 차량 사용 기간에 따라 구동용(고전압) 배터리의 자연 열화가 발생하며, 이에 따라 주행가능 거리가 감소합니다. 충전량 및 주행 가능 거리가 계속해서 감소할 경우 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오. 장기간 차량을 사용하지 않을 경우 구동용(고전압) 배터리가 방전되는 것을 막기 위해,약 3개월에 한번씩 충전하십시오. 또한 충전량이 부족할 경우에는 즉시 충전 후 차량을보관하십시오. 배터리의 최적 상태 유지를 위해 완속 충전을 권장합니다.배터리 충전량이 20% 이하일때 100%까지충전을 하면 배터리 성능을 최적의 상태로유지 할 수 있습니다. (월 1회 이상 권장)  구동용(고전압) 배터리의 충전 상태(충전기상태, 외기 온도, 배터리 온도 등)에 따라 충전량 표시계에 표기되는 충전 전력값이 낮아질 수 있습니다. 구동용(고전압) 배터리는 일정량을 충전하면 배터리의 수명 또는 안전상의 이유로 전류를 서서히 낮추어 완전히 충전합니다.
 구동용 배터리 충전계 게이지가 10% 이하로내려가지 않도록 하십시오. 충전량이 부족한상태에서 차량을 장기간 보관하면 배터리가손상되거나 용량 저하의 상태에 따라 배터리교환이 필요할 수 있습니다. 차량이 큰 충격을 받을 정도의 충돌이 발생한 경우, 당사 직영 하이테크센터나 블루핸즈에서 배터리 연결 상태 점검을 받으십시오. V2L 기능을 사용하면 고전압 배터리 에너지의 사용으로 주행거리가 감소될 수 있으며,반복 사용 시 고전압배터리 수명 감소의 원인이 될 수 있습니다.",,
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:
EV 모드
인포테인먼트(오디오, 비디오, 내비게이션) 홈 화면에서 ‘EV’ 메뉴를 선택하면 EV 모드로 진입합니다.",전기차 시작하기 설명서의 중제목은 무엇인가요?,EV 모드
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:EV 모드 화면 구성 
EV 모드 화면 구성 
(1) 솔라 루프 정보(2) 에너지 정보(3) 다음 출발 시간(4) 예약 충전 및 공조(5) 전기 사용 설정 (V2L)(6) 충전소 검색(7) EV 설정(8) 메뉴",전기차 시작하기 설명서의 대제목은 무엇인가요?,"전기차 시작하기 설명서의 대제목은 ""전기차 시작하기""입니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:솔라 루프 정보
솔라 루프 정보
화면에서 ‘솔라 루프 정보’를 선택하면 솔라 루프에 의한 배터리 충전량을 확인할 수 있습니다. 자세한 내용은 5장 ‘솔라루프’를 참고하십시오.",전기차에서 솔라 루프에 의한 배터리 충전량을 확인하는 방법은 무엇인가요?,화면에서 '솔라 루프 정보'를 선택하면 솔라 루프에 의한 배터리 충전량을 확인할 수 있습니다.
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:에너지 정보
에너지 정보
화면에서 차량 이미지를 선택하십시오. 배터리정보를 확인할 수 있습니다. 
현재 남은 배터리로 주행 가능 거리, 남은 배터리량, 충전 방식에 따른 충전 예상 소요 시간을확인할 수 있습니다.  주행 가능 거리는 실시간 주행 연비와 외기온도를 기준으로 측정된 예상 거리입니다.주행 패턴이 달라지면 주행 가능 거리가 달라질 수 있습니다. 주행 패턴의 변화에 따라, 동일한 충전 목표량을 설정한 경우에도 표시되는 예상 주행가능 거리가 달라질 수 있습니다.",전기차 시작하기 설명서의 대제목은 무엇인가요?,"전기차 시작하기 설명서의 대제목은 ""전기차 시작하기""입니다."
"설명서 대제목:전기차 시작하기
설명서 중제목:EV 모드
설명서 소제목:다음 출발 시간
다음 출발 시간
화면에서 ‘다음 출발 시간’을 선택하십시오.출발 시간에 맞춰 자동으로 배터리를 충전하거나 실내 온도를 조절하는 기능을 설정할 수 있습니다.",전기차 시작하기 설명서의 대제목은 무엇인가요?,"전기차 시작하기 설명서의 대제목은 ""전기차 시작하기""입니다."
