span,img_urls,ctype,index,block_num,merge_contents,doc_group,h1,h2,h3
"""('HyundaiSansHeadKR', 13416, 28)""",,text,h1,7_0,전기차 시작하기,1,전기차 시작하기,,
"""('HyundaiSansTextKRMedium', 13416, 14)""",,text,h2,8_0,전기 자동차 개요,2,전기차 시작하기,전기 자동차 개요,
"""('HyundaiSansTextKR', 0, 9)""",,text,,8_1,"전기 자동차는 배터리와 전기 모터로 구동되는자동차입니다. 일반 자동차는 내연기관을 이용하여 가솔린 등의 연료를 사용하는데 비해, 전기 자동차는 구동용(고전압) 배터리에 충전된전기를 사용하여 모터로 구동되기 때문에 연료의 보급이 필요 없고, 배기가스를 배출하지 않는 친환경 자동차입니다.",2,전기차 시작하기,전기 자동차 개요,
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,8_2,전기 자동차 특징,3,전기차 시작하기,전기 자동차 개요,전기 자동차 특징
"""('HyundaiSansTextKR', 0, 9)""",,text,,8_3,"1. 구동용(고전압) 배터리에 충전된 전기를 이용하여 주행하기 때문에 가솔린 등의 연료보급이 필요 없으며, 배기가스를 배출하지않아 친환경적입니다.2. 고성능 모터가 적용되어 엔진 장착 차량에비해 주행 중 소음 및 진동 발생이 매우 적습니다.3. 감속 또는 내리막길 주행 시 회생 제동 브레이크가 작동되어 구동용(고전압) 배터리를충전하며, 이 과정에서 에너지 손실을 최소화하여 주행 가능 거리가 늘어납니다.4. 배터리 잔량이 부족한 경우 완속 충전, 급속충전 및 휴대용 충전이 가능합니다. 자세한내용은 ‘전기 자동차 충전 종류’를 참고하십시오.",3,전기차 시작하기,전기 자동차 개요,전기 자동차 특징
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,8_5," 회생 제동 기능이란?차량 감속 및 제동 시 전기 모터를 사용, 운동 에너지를 전기 에너지로 변환시켜 구동용 배터리를 충전하는 기능입니다.",3,전기차 시작하기,전기 자동차 개요,전기 자동차 특징
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,8_7,배터리에 대한 정보,4,전기차 시작하기,전기 자동차 개요,배터리에 대한 정보
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,8_8," 본 차량의 배터리는 모터 및 에어컨을 작동시키는 구동용(고전압) 배터리와 조명, 와이퍼, 오디오 등을 작동시키는 보조 배터리(12V)로 구성되어 있습니다. 보조 배터리는 주행 가능 표시등()이켜진 상태 또는 구동용(고전압) 배터리가 충전되는 경우에 자동으로 충전됩니다.",4,전기차 시작하기,전기 자동차 개요,배터리에 대한 정보
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,8_9,전기 자동차의 주요 장치,5,전기차 시작하기,전기 자동차 개요,전기 자동차의 주요 장치
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansHeadKR', 0, 9)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,8_10," 구동용(고전압) 배터리 충전장치(OBC): 전력망의 AC 전원을 DC 전원으로 변환하여 구동용(고전압) 배터리를 충전하는 장치 인버터: 직류 > 교류 변환하여 모터에 전원공급, 교류 > 직류 변환하여 구동용(고전압)배터리 충전(회생제동)  LDC: 고전압 배터리의 전원을 저전압(12 V)으로 변환하여 차량 전원을 공급(DC-DC) VCU: 전기 자동차의 다양한 제어기를 총괄제어 모터: 배터리에 저장된 전기를 이용하여 차량을 구동시키며 일반 자동차의 엔진과 같은역할 감속기: 모터의 회전력을 적절한 속도와 토크로 타이어에 전달 구동용(고전압) 배터리(리튬 이온 배터리):전기 자동차에 필요한 전력을 저장하거나 공급(조명, 와이퍼 등을 작동시키는 보조 배터리(12 V) 별도 장착)",5,전기차 시작하기,전기 자동차 개요,전기 자동차의 주요 장치
